v,h,H,hW,x
0.29931,0.33401,0.33858,0.0,0.0
0.2993516666666667,0.33396000000000003,0.33853,0.0,0.005
0.2997206010016695,0.33385651085141904,0.3384398664440734,0.0,0.01
0.30037156666666665,0.33372973333333333,0.33832976666666664,0.0,0.015
0.30116884808013356,0.3335929549248748,0.33821302170283807,0.0,0.02
0.3019917,0.3334494,0.33809449999999996,0.0,0.025
0.3028330717863105,0.3332994323873122,0.3379695325542571,0.0,0.03
0.30360101836393993,0.3331575292153589,0.3378526711185309,0.0,0.035
0.30430076666666667,0.3330225333333333,0.33773596666666666,0.0,0.04
0.30496455759599334,0.3328890651085142,0.33762929883138565,0.0,0.045
0.3056016,0.3327624,0.3375258,0.0,0.05
0.30619243739565943,0.33264569282136897,0.3374209015025042,0.0,0.055
0.3066849166666667,0.332529,0.33732908333333333,0.0,0.06
0.3071765833333333,0.332429,0.3372374166666667,0.0,0.065
0.3076486310517529,0.33232210350584307,0.3371456260434057,0.0,0.07
0.3080646,0.3322137,0.3370539,0.0,0.075
0.3084206844741235,0.33210873121869783,0.33695873121869785,0.0,0.08
0.30873598333333335,0.33200681666666665,0.33686038333333335,0.0,0.085
0.30904432387312186,0.33189848080133555,0.3367685976627713,0.0,0.09
0.30935317195325546,0.3317899666110184,0.3366684307178631,0.0,0.095
0.30963440000000003,0.3316816,0.3365684,0.0,0.1
0.3098736894824708,0.33157315525876463,0.33646829716193655,0.0,0.105
0.31007663333333335,0.33146820000000005,0.3363682,0.0,0.11
0.3102509952606635,0.3313641706161138,0.336269336492891,0.0,0.115
0.3104025,0.3312576666666667,0.3361676666666667,0.0,0.12
0.3105275,0.331141,0.336051,0.0,0.125
0.3106252921535893,0.3310310183639399,0.33594786310517527,0.0,0.13
0.3106962833333333,0.3309278,0.3358478,0.0,0.135
0.3107511,0.3308278,0.33575131666666663,0.0,0.14
0.310799265442404,0.3307296160267112,0.33565776293823035,0.0,0.145
0.3108404,0.3306378,0.3355578,0.0,0.15
0.3108570666666667,0.3305461333333333,0.33546613333333336,0.0,0.155
0.31084624373956593,0.33046121869782974,0.3353812186978297,0.0,0.16
0.31081913333333333,0.3303778333333333,0.3352978333333333,0.0,0.165
0.3107751085141903,0.3302944407345576,0.3352144407345576,0.0,0.17
0.3107129,0.33021290000000003,0.3351329,0.0,0.175
0.31063742904841407,0.3301378964941569,0.33505789649415696,0.0,0.18
0.31054560934891484,0.3300627712854758,0.33498277128547577,0.0,0.185
0.31044008333333334,0.32999466666666666,0.33490775,0.0,0.19
0.31032111853088484,0.32992792988313857,0.33483792988313854,0.0,0.195
0.31018880000000004,0.3298612,0.3347676,0.0,0.2
0.31004514190317195,0.32979644407345576,0.3346945075125209,0.0,0.205
0.30989490000000003,0.32973801666666663,0.33462801666666664,0.0,0.21
0.3097449,0.32967968333333336,0.33456968333333337,0.0,0.215
0.3095877295492488,0.32962126878130216,0.33450430717863106,0.0,0.22
0.3094293,0.3295682,0.3344482,0.0,0.225
0.30926357262103504,0.32951816360601,0.33439452420701166,0.0,0.23
0.30908636666666667,0.3294681,0.3343361166666667,0.0,0.235
0.30890270450751256,0.3294184140233723,0.33427809682804677,0.0,0.24
0.30871071786310517,0.32937667779632723,0.33422801335559266,0.0,0.245
0.308512,0.329335,0.334185,0.0,0.25
0.30830644407345575,0.32929328881469117,0.3341379465776294,0.0,0.255
0.30809423333333336,0.32925526666666666,0.33409158333333333,0.0,0.26
0.30787747913188646,0.3292219198664441,0.3340519198664441,0.0,0.265
0.30765973333333335,0.3291889,0.33401816666666667,0.0,0.27
0.3074264,0.3291639,0.3339765,0.0,0.275
0.3072068280467446,0.32913886477462434,0.33394181969949915,0.0,0.28
0.3070008,0.32911385,0.33391385,0.0,0.285
0.3067969282136895,0.3290888313856427,0.3338851085141903,0.0,0.29
0.30658626666666666,0.32906586666666665,0.3338538,0.0,0.295
0.3063695826377295,0.32904919866444077,0.3338287979966611,0.0,0.3
0.30615255425709514,0.3290325041736227,0.33380375626043407,0.0,0.305
0.30593583333333335,0.32901583333333334,0.33378583333333334,0.0,0.31
0.30572458333333336,0.3289991666666667,0.33376375,0.0,0.315
0.30552736227045074,0.3289862437395659,0.3337424874791319,0.0,0.32
0.3053438,0.3289779,0.3337258,0.0,0.325
0.30516001669449083,0.32896956594323873,0.33370956594323875,0.0,0.33
0.30496803005008344,0.3289612186978297,0.3337012186978297,0.0,0.335
0.30479055,0.32895288333333333,0.33368576666666666,0.0,0.34
0.30462627712854756,0.3289445409015025,0.3336745409015025,0.0,0.345
0.3044716,0.32894,0.3336662,0.0,0.35
0.3043258096828047,0.32894,0.3336578631051753,0.0,0.355
0.30419371666666667,0.32894,0.33365,0.0,0.36
0.30408538333333335,0.32894,0.33365,0.0,0.365
0.30399838063439066,0.32894,0.33365,0.0,0.37
0.3039425,0.32894,0.33365,0.0,0.375
0.3039161602671119,0.32894,0.33365,0.0,0.38
0.30390781666666666,0.32894218333333336,0.33365,0.0,0.385
0.3039,0.32895,0.3336505175292154,0.0,0.39
0.3039,0.32895,0.33365886477462436,0.0,0.395
0.3039,0.3289572,0.33366,0.0,0.4
0.3038944574290484,0.32896,0.3336655425709516,0.0,0.405
0.30388611666666665,0.3289638833333333,0.33367388333333337,0.0,0.41
0.30387777963272117,0.3289722203672788,0.33368,0.0,0.415
0.3038694333333333,0.32898056666666664,0.3336805666666666,0.0,0.42
0.3038611,0.32898890000000003,0.3336889,0.0,0.425
0.30385276666666666,0.32899723333333336,0.33369723333333334,0.0,0.43
0.3038444240400668,0.32900557595993324,0.33371115191986644,0.0,0.435
0.30383608333333334,0.32901783333333334,0.3337239166666667,0.0,0.44
0.30382774624373954,0.32903225375626044,0.3337322537562605,0.0,0.445
0.3038188,0.3290406,0.33374119999999996,0.0,0.45
0.30380213333333334,0.32904893333333335,0.3337578666666667,0.0,0.455
0.30379272120200335,0.3290645575959933,0.33376727879799667,0.0,0.46
0.30378438333333335,0.3290756166666666,0.3337812333333333,0.0,0.465
0.30377208681135226,0.3290879131886477,0.33379395659432387,0.0,0.47
0.30375769999999996,0.3291023,0.3338046,0.0,0.475
0.30374873121869783,0.3291112687813022,0.33382063439065107,0.0,0.48
0.3037320367278798,0.3291279632721202,0.3338289816360601,0.0,0.485
0.3037226833333333,0.3291446333333333,0.3338446333333333,0.0,0.49
0.30370868113522537,0.32915565943238734,0.3338556594323873,0.0,0.495
0.303696,0.329168,0.333868,0.0,0.5
