v,h,H,hW,x
0.23368,0.42812,0.4309,0.0,0.0
0.23371333333333333,0.42816166666666666,0.43094166666666667,0.0,0.005
0.23398043405676128,0.42819003338898165,0.43097671118530884,0.0,0.01
0.23452136666666668,0.42815986666666667,0.43096491666666664,0.0,0.015
0.23524542570951587,0.4280663105175292,0.43089302170283805,0.0,0.02
0.2360179,0.4279311,0.4307728,0.0,0.025
0.23674253731343284,0.4277894029850746,0.430639552238806,0.0,0.03
0.23740066666666665,0.42763920430107527,0.4305071182795699,0.0,0.035
0.23805389999999998,0.42749581666666664,0.43037925,0.0,0.04
0.23865903171953254,0.42738941569282135,0.4302895325542571,0.0,0.045
0.2392142,0.4273128,0.43022960000000005,0.0,0.05
0.2397359098497496,0.42724958263772955,0.4301813188647746,0.0,0.055
0.24024458333333334,0.42719941666666666,0.4301395,0.0,0.06
0.24070291666666668,0.42714108333333334,0.4300895,0.0,0.065
0.2411551085141903,0.4270826711185309,0.4300394323873122,0.0,0.07
0.2415748,0.4270192,0.4299894,0.0,0.075
0.24196819699499167,0.42694904841402337,0.4299324874791319,0.0,0.08
0.24235025000000002,0.42687573333333334,0.42986751666666667,0.0,0.085
0.24272467445742904,0.4268089482470785,0.42980918196994994,0.0,0.09
0.24305856427378966,0.4267338230383973,0.42975075125208684,0.0,0.095
0.2433648,0.42666560000000003,0.4296856,0.0,0.1
0.24366510851419032,0.4265988647746244,0.4296240066777963,0.0,0.105
0.24395495,0.42653213333333334,0.4295656166666667,0.0,0.11
0.2442227712854758,0.4264654424040067,0.42950726210350587,0.0,0.115
0.24446416666666668,0.42639866666666665,0.42944883333333334,0.0,0.12
0.24467250000000001,0.426332,0.4293905,0.0,0.125
0.24487427378964943,0.42627208681135226,0.42933208681135226,0.0,0.13
0.2450744,0.42620853333333336,0.4292737166666667,0.0,0.135
0.24526385,0.4261453833333333,0.4292153833333333,0.0,0.14
0.24543335559265442,0.4260870283806344,0.4291570283806344,0.0,0.145
0.2455832,0.42602840000000003,0.4290986,0.0,0.15
0.24571653333333332,0.4259617333333333,0.42904026666666667,0.0,0.155
0.24582941569282138,0.4259087312186978,0.42898873121869785,0.0,0.16
0.24592216666666666,0.42585348333333334,0.42893348333333337,0.0,0.165
0.2460055592654424,0.42579510851419033,0.4288751085141903,0.0,0.17
0.2460871,0.4257367,0.4288186,0.0,0.175
0.2461618697829716,0.4256785976627713,0.42876859766277126,0.0,0.18
0.24622864774624373,0.4256285141903172,0.4287185141903172,0.0,0.185
0.24627458333333332,0.42557158333333334,0.4286615833333333,0.0,0.19
0.24631103505843072,0.4255184474123539,0.42860844741235393,0.0,0.195
0.2463372,0.42546839999999997,0.4285584,0.0,0.2
0.24635,0.42541838063439064,0.4285083806343907,0.0,0.205
0.2463497166666667,0.42536830000000003,0.42845858333333336,0.0,0.21
0.24634138333333333,0.42531830000000004,0.4284169166666667,0.0,0.215
0.24631911519198665,0.42527519198664443,0.4283682303839733,0.0,0.22
0.2462888,0.4252335,0.4283235,0.0,0.225
0.24625180300500835,0.42518816360601,0.42827816360601,0.0,0.23
0.24620809999999999,0.4251400833333333,0.42823008333333334,0.0,0.235
0.24615746243739564,0.4250984140233723,0.4281884140233723,0.0,0.24
0.24609068447412352,0.4250566777963272,0.42814667779632726,0.0,0.245
0.24601699999999999,0.425022,0.428105,0.0,0.25
0.24594191986644406,0.42498328881469116,0.42806328881469113,0.0,0.255
0.24585948333333335,0.42494526666666665,0.4280252666666666,0.0,0.26
0.2457677796327212,0.4249119198664441,0.4279898998330551,0.0,0.265
0.24567523333333335,0.4248785333333333,0.4279485333333333,0.0,0.27
0.2455669,0.4248452,0.4279152,0.0,0.275
0.2454584140233723,0.42481181969949916,0.4278818196994992,0.0,0.28
0.24534463333333334,0.4247784666666667,0.42784846666666665,0.0,0.285
0.24522415692821367,0.42474510851419034,0.4278151085141903,0.0,0.29
0.24509693333333332,0.4247138,0.42778173333333336,0.0,0.295
0.24496358931552586,0.4246887979966611,0.4277483973288815,0.0,0.3
0.24483003338898163,0.42466375626043407,0.4277150083472454,0.0,0.305
0.2446825,0.42463875,0.42768875,0.0,0.31
0.24453791666666666,0.42461375,0.42765833333333336,0.0,0.315
0.24438863105175293,0.42458873121869783,0.4276287312186978,0.0,0.32
0.24423009999999998,0.4245637,0.4276037,0.0,0.325
0.24407131886477462,0.42453913188647746,0.4275786978297162,0.0,0.33
0.24390437395659434,0.4245224373956594,0.42755365609348917,0.0,0.335
0.24373766666666669,0.4245057666666667,0.42752865,0.0,0.34
0.2435653589315526,0.4244836227045075,0.427509081803005,0.0,0.345
0.243394,0.4244624,0.4274886,0.0,0.35
0.24322512520868111,0.4244457262103506,0.4274657262103506,0.0,0.355
0.24304985,0.4244295166666666,0.42744855,0.0,0.36
0.24287485,0.42442118333333334,0.42742355000000004,0.0,0.365
0.24269959933222038,0.42440567612687813,0.42740567612687813,0.0,0.37
0.2425245,0.42438899999999996,0.42738899999999996,0.0,0.375
0.24234552587646077,0.42437616026711183,0.4273723205342237,0.0,0.38
0.24216196666666667,0.4243656333333334,0.4273556333333334,0.0,0.385
0.24197809682804675,0.42434948247078463,0.42733896494156925,0.0,0.39
0.2417861101836394,0.42434113522537564,0.4273222704507512,0.0,0.395
0.2415944,0.4243328,0.4273056,0.0,0.4
0.2414025208681135,0.4243244574290484,0.4272944574290484,0.0,0.405
0.24121068333333331,0.42431611666666663,0.4272822333333333,0.0,0.41
0.24101893155258766,0.4243077796327212,0.42726777963272117,0.0,0.415
0.24082753333333334,0.42429943333333336,0.4272588666666666,0.0,0.42
0.2406442,0.4242911,0.4272422,0.0,0.425
0.24046086666666666,0.42429,0.42723276666666665,0.0,0.43
0.24027732888146913,0.4242844240400668,0.4272244240400668,0.0,0.435
0.24008991666666668,0.42427608333333333,0.42721608333333333,0.0,0.44
0.23989816360601002,0.42427,0.42720774624373953,0.0,0.445
0.23970619999999998,0.42427,0.4271994,0.0,0.45
0.23951453333333333,0.42427,0.4271910666666667,0.0,0.455
0.23932986644407347,0.42427,0.42718272120200335,0.0,0.46
0.23915205,0.42426438333333333,0.42718,0.0,0.465
0.23897691151919867,0.42426,0.4271760434056761,0.0,0.47
0.2388017,0.42426,0.4271677,0.0,0.475
0.2386260434056761,0.42426,0.4271593656093489,0.0,0.48
0.2384424040066778,0.42426,0.42715101836393987,0.0,0.485
0.23827366666666666,0.42426,0.42715,0.0,0.49
0.23810681135225376,0.42426,0.4271443405676127,0.0,0.495
0.23794400000000002,0.42426,0.42714,0.0,0.5
0.23778325542570952,0.42426,0.4271376627712855,0.0,0.505
0.23761701666666668,0.42426,0.42713,0.0,0.51
0.23745868333333334,0.42426,0.42713,0.0,0.515
0.2373074791318865,0.42426,0.42713,0.0,0.52
0.2371631,0.42426,0.42713,0.0,0.525
0.23702131886477462,0.424264040066778,0.42713,0.0,0.53
0.23687948333333333,0.42427,0.42713,0.0,0.535
0.2367385141903172,0.42427071786310516,0.42713,0.0,0.54
0.23660495826377295,0.42427906510851415,0.42713,0.0,0.545
0.23648639999999999,0.42428,0.42713,0.0,0.55
0.23636959933222035,0.4242857429048414,0.42713,0.0,0.555
0.23625691666666665,0.42429,0.42713,0.0,0.56
0.23615095158597663,0.4242924207011686,0.42713242070116864,0.0,0.5650000000000001
0.23605233333333334,0.4243,0.42714,0.0,0.5700000000000001
0.235969,0.4243,0.42714,0.0,0.5750000000000001
0.23588566666666666,0.4243074333333334,0.42714,0.0,0.58
0.23581956594323872,0.42431,0.42714577629382305,0.0,0.585
