h,x
0.40812,0.5750000000000001
0.40813,0.58
0.40813,0.585
0.40814,0.59
0.40815,0.595
0.40816,0.6
0.40816,0.605
0.40817,0.61
0.40818,0.615
0.40819,0.62
0.40819,0.625
0.4082,0.63
0.40821,0.635
0.40821,0.64
0.40822,0.645
0.40823,0.65
0.40824,0.655
0.40824,0.66
0.40825,0.665
0.40826,0.67
0.40826,0.675
0.40827,0.68
0.40827,0.685
0.40828,0.6900000000000001
0.40829,0.6950000000000001
0.40829,0.7000000000000001
0.4083,0.705
0.4083,0.71
0.40831,0.715
0.40831,0.72
0.40832,0.725
0.40832,0.73
0.40833,0.735
0.40833,0.74
0.40834,0.745
0.40834,0.75
0.40835,0.755
0.40835,0.76
0.40836,0.765
0.40836,0.77
0.40836,0.775
0.40837,0.78
0.40837,0.785
0.40838,0.79
0.40838,0.795
0.40839,0.8
0.40839,0.805
0.4084,0.81
0.40841,0.8150000000000001
0.40841,0.8200000000000001
0.40842,0.8250000000000001
0.40843,0.8300000000000001
0.40843,0.835
0.40844,0.84
0.40845,0.845
0.40846,0.85
0.40846,0.855
0.40847,0.86
0.40848,0.865
0.40849,0.87
0.4085,0.875
0.40851,0.88
0.40852,0.885
0.40853,0.89
0.40854,0.895
0.40855,0.9
0.40856,0.905
0.40857,0.91
0.40858,0.915
0.40859,0.92
0.4086,0.925
0.40861,0.93
0.40862,0.935
0.40863,0.94
0.40864,0.945
0.40864,0.95
0.40865,0.955
0.40866,0.96
0.40867,0.965
0.40867,0.97
0.40868,0.975
0.40868,0.98
0.40869,0.985
0.40869,0.99
0.4087,0.995
0.4087,1.0
0.4087,1.005
0.4087,1.01
0.4087,1.015
0.40871,1.02
0.40871,1.025
0.40871,1.03
0.40871,1.035
0.40871,1.04
0.40871,1.045
0.4087,1.05
0.4087,1.055
0.4087,1.06
0.4087,1.065
0.4087,1.07
0.4087,1.075
0.4087,1.08
0.4087,1.085
0.4087,1.09
0.4087,1.095
0.40869,1.1
0.40869,1.105
0.40869,1.11
0.40869,1.115
0.40869,1.12
0.40869,1.125
0.40869,1.13
0.40868,1.135
0.40868,1.14
0.40868,1.145
0.40867,1.15
0.40867,1.155
0.40866,1.16
0.40866,1.165
0.40865,1.17
0.40865,1.175
0.40864,1.18
0.40863,1.185
0.40862,1.19
0.40861,1.195
0.4086,1.2
0.40859,1.205
0.40858,1.21
0.40858,1.215
0.40856,1.22
0.40855,1.225
0.40854,1.23
0.40853,1.235
0.40851,1.24
0.40849,1.245
0.40848,1.25
0.40846,1.255
0.40844,1.26
0.40842,1.265
0.4084,1.27
0.40837,1.275
0.40835,1.28
0.40832,1.285
0.40829,1.29
0.40826,1.295
0.40823,1.3
0.40819,1.305
0.40815,1.31
0.40812,1.315
0.40808,1.32
0.40803,1.325
0.40799,1.33
0.40794,1.335
0.40789,1.34
0.40784,1.345
0.40779,1.35
0.40773,1.355
0.40767,1.36
0.40761,1.365
0.40754,1.37
0.40747,1.375
0.4074,1.38
0.40732,1.385
0.40724,1.39
0.40715,1.395
0.40706,1.4
0.40696,1.405
0.40686,1.41
0.40676,1.415
0.40664,1.42
0.40653,1.425
0.4064,1.43
0.40627,1.435
0.40613,1.44
0.40598,1.445
0.40582,1.45
0.40566,1.455
0.40549,1.46
0.40531,1.465
0.40511,1.47
0.40491,1.475
0.40469,1.48
0.40445,1.485
0.40419,1.49
0.40391,1.495
0.40361,1.5
0.4033,1.505
0.40297,1.51
0.40262,1.515
0.40225,1.52
0.40186,1.525
0.40144,1.53
0.40102,1.535
0.40053,1.54
0.40013,1.545
0.39964,1.55
0.39899,1.555
0.39839,1.56
0.39776,1.565
0.39708,1.57
0.39636,1.575
0.39554,1.58
0.39469,1.585
0.39387,1.59
0.39294,1.595
0.39196,1.6
0.39079,1.605
0.3896,1.61
0.38847,1.615
0.38718,1.62
0.38581,1.625
0.3843,1.63
0.38266,1.635
0.381,1.64
0.37918,1.645
0.37703,1.65
0.37545,1.655
0.37323,1.66
0.37077,1.665
0.36807,1.67
0.36555,1.675
0.36273,1.68
0.35845,1.685
0.35579,1.69
0.35275,1.695
0.34795,1.7
0.34304,1.705
0.33808,1.71
0.33307,1.715
0.328,1.72
0.32292,1.725
0.31781,1.73
0.31034,1.735
0.30282,1.74
0.29523,1.745
0.28523,1.75
0.27271,1.755
0.25769,1.76
0.23764,1.765
0.20008,1.77
0.14516,1.775
0.10782,1.78
0.09539,1.785
0.08552,1.79
0.07805,1.795
0.07297,1.8
0.06801,1.805
0.06316,1.81
0.05847,1.815
0.05569,1.82
0.05352,1.825
0.05113,1.83
0.05026,1.835
0.04875,1.84
0.04694,1.845
0.046,1.85
0.04534,1.855
0.04507,1.86
0.04429,1.865
0.04334,1.87
0.04297,1.875
0.04265,1.88
0.04239,1.885
0.04217,1.89
0.04199,1.895
0.04183,1.9
0.0417,1.905
0.04159,1.91
0.0415,1.915
0.04143,1.92
0.04136,1.925
0.04131,1.93
0.04126,1.935
0.04123,1.94
0.0412,1.945
0.04117,1.95
0.04115,1.955
0.04113,1.96
0.04111,1.965
0.0411,1.97
0.04109,1.975
0.04108,1.98
0.04107,1.985
0.04106,1.99
0.04106,1.995
0.04105,2.0
0.04105,2.005
0.04105,2.01
0.04104,2.015
0.04104,2.02
0.04104,2.025
0.04104,2.03
0.04104,2.035
0.04103,2.04
0.04103,2.045
0.04103,2.05
0.04103,2.055
0.04103,2.06
0.04103,2.065
0.04103,2.07
0.04103,2.075
0.04103,2.08
0.04103,2.085
0.04103,2.09
0.04103,2.095
0.04103,2.1
0.04103,2.105
0.04103,2.11
0.04103,2.115
0.04103,2.12
0.04103,2.125
0.04102,2.13
0.04102,2.135
0.04102,2.14
0.04102,2.145
0.04102,2.15
0.04102,2.155
0.04102,2.16
0.04102,2.165
0.04102,2.17
0.04102,2.1750000000000003
0.04102,2.18
0.04102,2.185
0.04102,2.19
0.04102,2.195
0.04102,2.2
0.04102,2.205
0.04102,2.21
0.04102,2.215
0.04102,2.22
0.04102,2.225
0.04102,2.23
0.04102,2.235
0.04102,2.24
0.04102,2.245
0.04102,2.25
0.04102,2.255
0.04102,2.26
0.04102,2.265
0.04102,2.27
0.04102,2.275
0.04102,2.28
0.04102,2.285
0.04102,2.29
0.04102,2.295
0.04102,2.3000000000000003
0.04102,2.305
0.04102,2.31
0.04102,2.315
0.04102,2.32
0.04102,2.325
0.04102,2.33
0.04102,2.335
0.04102,2.34
0.04102,2.345
0.04102,2.35
0.04102,2.355
0.04102,2.36
0.04102,2.365
0.04102,2.37
0.04102,2.375
0.04102,2.38
0.04102,2.385
0.04102,2.39
0.04102,2.395
0.04102,2.4
0.04102,2.405
0.04102,2.41
0.04102,2.415
0.04102,2.42
0.04102,2.4250000000000003
0.04102,2.43
0.04102,2.435
0.04102,2.44
0.04102,2.445
0.04102,2.45
0.04102,2.455
0.04102,2.46
0.04102,2.465
0.04102,2.47
0.04102,2.475
0.04102,2.48
0.04102,2.485
0.04102,2.49
0.04102,2.495
0.04102,2.5
