h,x
0.41206,0.0
0.41202,0.005
0.41193,0.01
0.41185,0.015
0.41177,0.02
0.41169,0.025
0.41162,0.03
0.41154,0.035
0.41147,0.04
0.41139,0.045
0.41131,0.05
0.41124,0.055
0.41116,0.06
0.41108,0.065
0.41101,0.07
0.41093,0.075
0.41086,0.08
0.41078,0.085
0.41071,0.09
0.41063,0.095
0.41056,0.1
0.41048,0.105
0.41041,0.11
0.41034,0.115
0.41027,0.12
0.4102,0.125
0.41013,0.13
0.41006,0.135
0.41001,0.14
0.40995,0.145
0.40986,0.15
0.4098,0.155
0.40974,0.16
0.40968,0.165
0.40962,0.17
0.40956,0.175
0.4095,0.18
0.40945,0.185
0.40939,0.19
0.40934,0.195
0.40928,0.2
0.40923,0.205
0.40918,0.21
0.40912,0.215
0.40907,0.22
0.40902,0.225
0.40898,0.23
0.40893,0.235
0.40889,0.24
0.40885,0.245
0.4088,0.25
0.40876,0.255
0.40873,0.26
0.40869,0.265
0.40865,0.27
0.40862,0.275
0.40859,0.28
0.40855,0.285
0.40852,0.29
0.40849,0.295
0.40846,0.3
0.40843,0.305
0.40841,0.31
0.40838,0.315
0.40836,0.32
0.40833,0.325
0.40831,0.33
0.40829,0.335
0.40827,0.34
0.40825,0.345
0.40823,0.35
0.40822,0.355
0.4082,0.36
0.40819,0.365
0.40817,0.37
0.40816,0.375
0.40814,0.38
0.40813,0.385
0.40812,0.39
0.40811,0.395
0.4081,0.4
0.40809,0.405
0.40809,0.41
0.40808,0.415
0.40807,0.42
0.40807,0.425
0.40806,0.43
0.40806,0.435
0.40806,0.44
0.40805,0.445
0.40805,0.45
0.40805,0.455
0.40805,0.46
0.40805,0.465
0.40805,0.47
0.40805,0.475
0.40805,0.48
0.40805,0.485
0.40805,0.49
0.40805,0.495
0.40805,0.5
0.40806,0.505
0.40806,0.51
0.40806,0.515
0.40806,0.52
0.40807,0.525
0.40807,0.53
0.40808,0.535
0.40808,0.54
0.40808,0.545
0.40809,0.55
0.40809,0.555
0.4081,0.56
0.4081,0.5650000000000001
0.40811,0.5700000000000001
