v,h,H,hW,x
0.14793,0.42279,0.4239,0.0,0.0
0.221855,0.422665,0.42522499999999996,0.0,0.005
0.23694666666666667,0.42258,0.4254366666666667,0.0,0.01
0.237535,0.42249499999999995,0.425365,0.0,0.015
0.23828,0.4224,0.42529,0.0,0.02
0.23903833333333332,0.42230166666666663,0.425215,0.0,0.025
0.23973,0.42221,0.42514,0.0,0.03
0.24036333333333335,0.422135,0.4250733333333333,0.0,0.035
0.24099,0.42206,0.42502,0.0,0.04
0.24158,0.42199000000000003,0.42497,0.0,0.045
0.24213333333333334,0.42192666666666667,0.42491999999999996,0.0,0.05
0.24266166666666666,0.4218683333333333,0.42486999999999997,0.0,0.055
0.24317,0.42181,0.42482,0.0,0.06
0.24362833333333334,0.42174333333333336,0.42477000000000004,0.0,0.065
0.2440796551724138,0.4216762068965517,0.42470965517241377,0.0,0.07
0.2445135,0.4216086666666667,0.42465383333333334,0.0,0.075
0.2449175,0.421535,0.42459199999999997,0.0,0.08
0.2452925,0.4214535,0.4245253333333333,0.0,0.085
0.245667,0.4213786666666666,0.42445866666666665,0.0,0.09
0.24601699999999999,0.421312,0.424392,0.0,0.095
0.24631916666666667,0.4212453333333333,0.4243321666666667,0.0,0.1
0.24660566666666667,0.42117866666666665,0.42427383333333335,0.0,0.105
0.24688549999999998,0.421112,0.4242155,0.0,0.11
0.24715499999999999,0.4210453333333333,0.42415716666666664,0.0,0.115
0.24740433333333334,0.42097866666666667,0.4240988333333333,0.0,0.12
0.24762099999999998,0.420912,0.4240405,0.0,0.125
0.24781716666666667,0.42084533333333335,0.42398216666666666,0.0,0.13
0.24799849999999998,0.42078383333333336,0.42391866666666667,0.0,0.135
0.2481735,0.420722,0.4238555,0.0,0.14
0.248343,0.42065716666666664,0.42379716666666667,0.0,0.145
0.24849266666666667,0.4205986666666666,0.42373900000000003,0.0,0.15
0.248626,0.420532,0.423689,0.0,0.155
0.24874566666666667,0.42047216666666665,0.42363216666666664,0.0,0.16
0.24884683333333335,0.4204138333333333,0.4235738333333333,0.0,0.165
0.248928,0.4203555,0.42351550000000004,0.0,0.17
0.24899283333333333,0.42029716666666667,0.42345716666666666,0.0,0.175
0.24905083333333333,0.42023900000000003,0.423399,0.0,0.18
0.2490925,0.420189,0.423349,0.0,0.185
0.24912733333333334,0.42013216666666664,0.423299,0.0,0.19
0.24916101694915255,0.4200784745762712,0.42324322033898304,0.0,0.195
0.24918366666666666,0.42002799999999996,0.423188,0.0,0.2
0.24919,0.41997799999999996,0.423138,0.0,0.205
0.24918966666666667,0.419928,0.423088,0.0,0.21
0.24918133333333334,0.41987800000000003,0.423038,0.0,0.215
0.24915900000000002,0.41982800000000003,0.422995,0.0,0.22
0.24912333333333334,0.41978333333333334,0.42294800000000005,0.0,0.225
0.24908166666666665,0.419738,0.4229016666666667,0.0,0.23
0.249036,0.41969,0.422858,0.0,0.235
0.24897733333333333,0.41964833333333335,0.42280833333333334,0.0,0.24
0.24891066666666667,0.41960666666666663,0.4227666666666667,0.0,0.245
0.24883,0.419572,0.422725,0.0,0.25
0.24874666666666667,0.4195333333333333,0.4226833333333333,0.0,0.255
0.248656,0.41949533333333333,0.4226453333333333,0.0,0.26
0.248556,0.41946,0.42261,0.0,0.265
0.24845533333333333,0.41941866666666666,0.42256866666666665,0.0,0.27
0.24833866666666668,0.41938533333333333,0.4225353333333334,0.0,0.275
0.248222,0.419352,0.422495,0.0,0.28
0.24810000000000001,0.41932400000000003,0.42245866666666665,0.0,0.285
0.24797133333333335,0.41929533333333335,0.4224253333333333,0.0,0.29
0.247836,0.41926399999999997,0.422394,0.0,0.295
0.24769433333333335,0.41923900000000003,0.42236866666666667,0.0,0.3
0.24755266666666667,0.41921400000000003,0.42233533333333334,0.0,0.305
0.247397,0.41918900000000003,0.422309,0.0,0.31
0.24723866666666666,0.41916400000000004,0.4222786666666667,0.0,0.315
0.2470791525423729,0.41913881355932203,0.42224881355932203,0.0,0.32
0.24691883333333334,0.41911566666666666,0.4222235,0.0,0.325
0.2467605,0.4190985,0.42219850000000003,0.0,0.33
0.24660216666666665,0.4190735,0.4221735,0.0,0.335
0.24643666666666666,0.41905566666666666,0.4221556666666667,0.0,0.34
0.2462645,0.419039,0.4221335,0.0,0.345
0.24608950000000002,0.4190261666666667,0.4221123333333333,0.0,0.35
0.24591233333333334,0.4190156666666667,0.42209566666666665,0.0,0.355
0.24572899999999998,0.418999,0.4220785,0.0,0.36
0.24554566666666666,0.41898233333333335,0.42205349999999997,0.0,0.365
0.24535516666666668,0.41897283333333335,0.4220356666666667,0.0,0.37
0.2451635,0.41895899999999997,0.422019,0.0,0.375
0.244968,0.4189461666666667,0.4220061666666667,0.0,0.38
0.24477016666666668,0.41893783333333334,0.42199566666666666,0.0,0.385
0.2445785,0.4189295,0.4219795,0.0,0.39
0.24438683333333333,0.4189211666666667,0.4219711666666667,0.0,0.395
0.24420233333333333,0.41891283333333335,0.4219556666666667,0.0,0.4
0.2440135,0.41891,0.4219445,0.0,0.405
0.24382183333333332,0.4189061666666667,0.42193233333333335,0.0,0.41
0.243628,0.4188978333333333,0.4219178333333333,0.0,0.415
0.2434285,0.41889,0.4219095,0.0,0.42
0.24323683333333335,0.41889,0.42190116666666666,0.0,0.425
0.243038,0.41889,0.4219,0.0,0.43
0.242838,0.41889,0.4218945,0.0,0.435
0.24264566666666668,0.41888616666666667,0.4218861666666667,0.0,0.44
0.2424615254237288,0.41888,0.4218777966101695,0.0,0.445
0.24227533333333334,0.41888,0.42187,0.0,0.45
0.242092,0.41888,0.42187,0.0,0.455
0.2419086666666667,0.41888,0.42186266666666666,0.0,0.46
0.24171966666666667,0.41888,0.42185433333333333,0.0,0.465
0.241532,0.41888,0.42185,0.0,0.47
0.24135333333333334,0.41888,0.42185,0.0,0.475
0.24118666666666666,0.41888,0.42184933333333335,0.0,0.48
0.24101999999999998,0.41888,0.42184099999999997,0.0,0.485
