v,h,H,hW,x
0.24401,0.40964,0.41267,0.0,0.0
0.24404333333333333,0.40964,0.41267,0.0,0.005
0.24437053422370617,0.4095932554257095,0.4126366110183639,0.0,0.01
0.24500156666666667,0.40957,0.4126300333333333,0.0,0.015
0.24579884808013355,0.4095129549248748,0.41259302170283807,0.0,0.02
0.24658940000000001,0.409349,0.4124507,0.0,0.025
0.24727267111853088,0.4090995993322204,0.4122096994991653,0.0,0.03
0.2479404507512521,0.4089994323873122,0.4121345742904841,0.0,0.035
0.24858718333333335,0.40892626666666665,0.41207298333333336,0.0,0.04
0.24918903171953255,0.4088595325542571,0.41201964941569286,0.0,0.045
0.249751,0.4087928,0.41196960000000005,0.0,0.05
0.2502859098497496,0.40872784641068444,0.41191958263772954,0.0,0.055
0.25079483333333336,0.40866925,0.41186941666666665,0.0,0.06
0.25127816666666664,0.40859425,0.4118110833333333,0.0,0.065
0.2517215859766277,0.40851914858096827,0.41175267111853087,0.0,0.07
0.2521552,0.4084441,0.4116892,0.0,0.075
0.25256819699499167,0.4083690484140234,0.4116224874791319,0.0,0.08
0.2529413333333333,0.4082921666666667,0.41155395,0.0,0.085
0.253274674457429,0.4082089482470785,0.4114790651085142,0.0,0.09
0.25360856427378964,0.4081338230383973,0.4114122871452421,0.0,0.095
0.2539352,0.4080588,0.41134560000000003,0.0,0.1
0.2542245409015025,0.40798886477462437,0.41128400667779635,0.0,0.105
0.25448101666666667,0.40791865,0.41122213333333335,0.0,0.11
0.2547191318864775,0.40784544240400666,0.41115544240400664,0.0,0.115
0.25494466666666665,0.4077785,0.41108883333333335,0.0,0.12
0.255178,0.4077035,0.4110305,0.0,0.125
0.25538427378964945,0.40763524207011687,0.41096524207011687,0.0,0.13
0.2555636666666667,0.4075685333333333,0.41089853333333337,0.0,0.135
0.2557233,0.40750186666666666,0.4108353833333333,0.0,0.14
0.25586594323873124,0.40743517529215356,0.41077517529215357,0.0,0.145
0.2559826,0.4073686,0.41070860000000003,0.0,0.15
0.2560909333333333,0.40731026666666664,0.41065026666666665,0.0,0.155
0.25619253756260435,0.4072449749582638,0.4105918530884808,0.0,0.16
0.25628738333333334,0.4071782666666667,0.4105282666666667,0.0,0.165
0.25636844741235393,0.4071151085141903,0.4104651085141903,0.0,0.17
0.2564333,0.4070567,0.4104067,0.0,0.175
0.2564909348914858,0.4069983639398998,0.4103483639398998,0.0,0.18
0.25652432387312185,0.40693993322203675,0.4102899332220367,0.0,0.185
0.25655075,0.40688158333333335,0.41023849999999995,0.0,0.19
0.25656,0.4068284474123539,0.4101831886477462,0.0,0.195
0.2565564,0.4067748,0.4101284,0.0,0.2
0.2565461268781302,0.40671838063439064,0.4100764440734558,0.0,0.205
0.25652886666666663,0.4066683,0.4100183,0.0,0.21
0.2564955333333333,0.40661830000000004,0.4099683,0.0,0.215
0.2564482303839733,0.40656823038397333,0.4099182303839733,0.0,0.22
0.25639819999999997,0.4065182,0.40986819999999996,0.0,0.225
0.25634088480801337,0.40647180300500835,0.4098218030050083,0.0,0.23
0.25627215000000003,0.4064281,0.4097781,0.0,0.235
0.25619682804674454,0.4063784140233723,0.4097284140233723,0.0,0.24
0.2561133555926544,0.40633667779632726,0.4096866777963272,0.0,0.245
0.256023,0.406295,0.409638,0.0,0.25
0.255920550918197,0.4062586310517529,0.40959328881469115,0.0,0.255
